run_id,date,shift,line_id,machine_id,work_order_id,planned_runtime_min,units_produced,units_defective,defect_rate
RUN-40,2024-01-02,Day,P2-L2,M-115,WO-1062,480,249,1,0.005
RUN-41,2024-01-02,Evening,P2-L2,M-117,WO-1181,480,252,6,0.0261
RUN-42,2024-01-02,Night,P2-L2,M-117,WO-1578,480,282,5,0.0187
RUN-43,2024-01-02,Day,P2-L3,M-118,WO-1898,480,300,10,0.0359
RUN-44,2024-01-02,Evening,P2-L3,M-120,WO-1519,480,313,7,0.0228
RUN-45,2024-01-02,Night,P2-L3,M-119,WO-1536,480,301,5,0.0171
RUN-46,2024-01-02,Day,P3-L1,M-121,WO-1541,480,330,10,0.0305
RUN-47,2024-01-02,Evening,P3-L1,M-122,WO-1194,480,264,13,0.0498
RUN-48,2024-01-02,Night,P3-L1,M-123,WO-1294,480,296,8,0.0276
RUN-49,2024-01-02,Day,P3-L2,M-125,WO-1856,480,334,9,0.0293
RUN-50,2024-01-02,Evening,P3-L2,M-127,WO-1124,480,332,9,0.028
RUN-51,2024-01-02,Night,P3-L2,M-125,WO-1324,480,269,10,0.0372
RUN-52,2024-01-02,Day,P3-L3,M-129,WO-1561,480,295,16,0.0545
RUN-53,2024-01-02,Evening,P3-L3,M-128,WO-1101,480,349,7,0.0214
RUN-54,2024-01-02,Night,P3-L3,M-131,WO-1508,480,340,10,0.031
RUN-55,2024-01-03,Day,P1-L1,M-103,WO-1637,480,337,14,0.0426
RUN-56,2024-01-03,Evening,P1-L1,M-103,WO-1389,480,336,10,0.0323
RUN-57,2024-01-03,Night,P1-L1,M-102,WO-1536,480,368,7,0.0208
RUN-58,2024-01-03,Day,P1-L2,M-104,WO-1276,480,305,11,0.0377
RUN-59,2024-01-03,Evening,P1-L2,M-104,WO-1269,480,357,10,0.0281
RUN-60,2024-01-03,Night,P1-L2,M-104,WO-1365,480,291,2,0.0075
RUN-61,2024-01-03,Day,P1-L3,M-107,WO-1690,480,228,5,0.0254
RUN-62,2024-01-03,Evening,P1-L3,M-108,WO-1749,480,297,10,0.0362
RUN-63,2024-01-03,Night,P1-L3,M-107,WO-1236,480,278,11,0.041
RUN-64,2024-01-03,Day,P2-L1,M-111,WO-1155,480,310,10,0.0345
RUN-65,2024-01-03,Evening,P2-L1,M-113,WO-1661,480,342,8,0.0259
RUN-66,2024-01-03,Night,P2-L1,M-114,WO-1717,480,325,2,0.0085
RUN-67,2024-01-03,Day,P2-L2,M-117,WO-1743,480,316,10,0.0338
RUN-68,2024-01-03,Evening,P2-L2,M-117,WO-1563,480,298,11,0.0374
RUN-69,2024-01-03,Night,P2-L2,M-115,WO-1554,480,381,9,0.0243
RUN-70,2024-01-03,Day,P2-L3,M-120,WO-1258,480,233,7,0.034
RUN-71,2024-01-03,Evening,P2-L3,M-119,WO-1764,480,216,4,0.0228
RUN-72,2024-01-03,Night,P2-L3,M-118,WO-1144,480,216,5,0.0234
RUN-73,2024-01-03,Day,P3-L1,M-121,WO-1574,480,360,16,0.0452
RUN-74,2024-01-03,Evening,P3-L1,M-122,WO-1151,480,353,10,0.0286
RUN-75,2024-01-03,Night,P3-L1,M-121,WO-1799,480,262,10,0.0416
RUN-76,2024-01-03,Day,P3-L2,M-125,WO-1564,480,227,7,0.0333
RUN-77,2024-01-03,Evening,P3-L2,M-127,WO-1567,480,326,18,0.0553
RUN-78,2024-01-03,Night,P3-L2,M-125,WO-1251,480,297,8,0.0302
RUN-79,2024-01-03,Day,P3-L3,M-130,WO-1357,480,261,4,0.0182
RUN-80,2024-01-03,Evening,P3-L3,M-130,WO-1802,480,260,11,0.0445
RUN-81,2024-01-03,Night,P3-L3,M-128,WO-1591,480,314,8,0.027
RUN-82,2024-01-04,Day,P1-L1,M-102,WO-1044,480,303,12,0.0399
RUN-83,2024-01-04,Evening,P1-L1,M-102,WO-1490,480,325,10,0.0317
RUN-84,2024-01-04,Night,P1-L1,M-101,WO-1304,480,319,17,0.0539
RUN-85,2024-01-04,Day,P1-L2,M-104,WO-1348,480,267,2,0.0087
RUN-86,2024-01-04,Evening,P1-L2,M-104,WO-1590,480,223,7,0.0314
RUN-87,2024-01-04,Night,P1-L2,M-104,WO-1814,480,357,7,0.0215
RUN-88,2024-01-04,Day,P1-L3,M-109,WO-1182,480,347,10,0.0305
RUN-89,2024-01-04,Evening,P1-L3,M-108,WO-1774,480,292,4,0.0161
RUN-90,2024-01-04,Night,P1-L3,M-109,WO-1241,480,233,2,0.012
RUN-91,2024-01-04,Day,P2-L1,M-112,WO-1847,480,284,5,0.0208
RUN-92,2024-01-04,Evening,P2-L1,M-112,WO-1395,480,300,5,0.0199
RUN-93,2024-01-04,Night,P2-L1,M-111,WO-1803,480,367,6,0.0187
RUN-94,2024-01-04,Day,P2-L2,M-116,WO-1330,480,362,7,0.0198
RUN-95,2024-01-04,Evening,P2-L2,M-116,WO-1161,480,294,6,0.0214
RUN-96,2024-01-04,Night,P2-L2,M-117,WO-1581,480,267,12,0.0456
RUN-97,2024-01-04,Day,P2-L3,M-120,WO-1521,480,261,7,0.0291
RUN-98,2024-01-04,Evening,P2-L3,M-120,WO-1418,480,346,9,0.0281
RUN-99,2024-01-04,Night,P2-L3,M-119,WO-1673,480,349,12,0.0363
RUN-100,2024-01-04,Day,P3-L1,M-123,WO-1810,480,327,8,0.0254
RUN-101,2024-01-04,Evening,P3-L1,M-123,WO-1730,480,297,10,0.0351
RUN-102,2024-01-04,Night,P3-L1,M-121,WO-1238,480,358,5,0.0165
RUN-103,2024-01-04,Day,P3-L2,M-127,WO-1140,480,280,13,0.0477
RUN-104,2024-01-04,Evening,P3-L2,M-126,WO-1166,480,258,14,0.0567
RUN-105,2024-01-04,Night,P3-L2,M-124,WO-1236,480,352,10,0.03
RUN-106,2024-01-04,Day,P3-L3,M-131,WO-1846,480,277,7,0.0278
RUN-107,2024-01-04,Evening,P3-L3,M-130,WO-1314,480,293,4,0.0166
RUN-108,2024-01-04,Night,P3-L3,M-128,WO-1294,480,272,4,0.0159
RUN-109,2024-01-05,Day,P1-L1,M-102,WO-1108,480,283,3,0.0109
RUN-110,2024-01-05,Evening,P1-L1,M-102,WO-1752,480,290,6,0.0232
RUN-111,2024-01-05,Night,P1-L1,M-101,WO-1394,480,328,6,0.0201
RUN-112,2024-01-05,Day,P1-L2,M-104,WO-1482,480,320,7,0.0224
RUN-113,2024-01-05,Evening,P1-L2,M-106,WO-1515,480,363,11,0.0324
RUN-114,2024-01-05,Night,P1-L2,M-106,WO-1194,480,319,2,0.0067
RUN-115,2024-01-05,Day,P1-L3,M-110,WO-1743,480,340,8,0.0253
RUN-116,2024-01-05,Evening,P1-L3,M-110,WO-1891,480,306,3,0.0102
RUN-117,2024-01-05,Night,P1-L3,M-107,WO-1061,480,352,8,0.0251
RUN-118,2024-01-05,Day,P2-L1,M-112,WO-1179,480,259,3,0.0126
RUN-119,2024-01-05,Evening,P2-L1,M-112,WO-1246,480,357,8,0.0236
RUN-120,2024-01-05,Night,P2-L1,M-111,WO-1677,480,306,10,0.0339
RUN-121,2024-01-05,Day,P2-L2,M-115,WO-1779,480,335,5,0.0177
RUN-122,2024-01-05,Evening,P2-L2,M-117,WO-1070,480,348,13,0.038
RUN-123,2024-01-05,Night,P2-L2,M-116,WO-1215,480,316,8,0.0259
RUN-124,2024-01-05,Day,P2-L3,M-118,WO-1819,480,296,9,0.0316
RUN-125,2024-01-05,Evening,P2-L3,M-119,WO-1215,480,297,10,0.0365
RUN-126,2024-01-05,Night,P2-L3,M-118,WO-1290,480,303,7,0.0263
RUN-127,2024-01-05,Day,P3-L1,M-123,WO-1869,480,342,10,0.0299
RUN-128,2024-01-05,Evening,P3-L1,M-122,WO-1280,480,352,10,0.0301
RUN-129,2024-01-05,Night,P3-L1,M-122,WO-1249,480,277,8,0.0302
RUN-130,2024-01-05,Day,P3-L2,M-125,WO-1748,480,294,5,0.0171
RUN-131,2024-01-05,Evening,P3-L2,M-127,WO-1470,480,253,3,0.0128
RUN-132,2024-01-05,Night,P3-L2,M-124,WO-1375,480,282,13,0.0487
RUN-133,2024-01-05,Day,P3-L3,M-130,WO-1704,480,263,6,0.0232
RUN-134,2024-01-05,Evening,P3-L3,M-129,WO-1189,480,356,20,0.0575
RUN-135,2024-01-05,Night,P3-L3,M-130,WO-1198,480,267,9,0.0358
RUN-136,2024-01-06,Day,P1-L1,M-101,WO-1633,480,347,13,0.0402
RUN-137,2024-01-06,Evening,P1-L1,M-102,WO-1824,480,294,6,0.0224
RUN-138,2024-01-06,Night,P1-L1,M-103,WO-1847,480,316,4,0.0154
RUN-139,2024-01-06,Day,P1-L2,M-105,WO-1091,480,305,2,0.0086
RUN-140,2024-01-06,Evening,P1-L2,M-104,WO-1486,480,326,4,0.0136
RUN-141,2024-01-06,Night,P1-L2,M-105,WO-1438,480,336,12,0.037
RUN-142,2024-01-06,Day,P1-L3,M-109,WO-1795,480,279,2,0.0086
RUN-143,2024-01-06,Evening,P1-L3,M-108,WO-1537,480,273,5,0.0215
RUN-144,2024-01-06,Night,P1-L3,M-109,WO-1875,480,334,16,0.049
RUN-145,2024-01-06,Day,P2-L1,M-111,WO-1335,480,324,12,0.0396
RUN-146,2024-01-06,Evening,P2-L1,M-114,WO-1785,480,283,7,0.026
RUN-147,2024-01-06,Night,P2-L1,M-112,WO-1208,480,282,9,0.0347
RUN-148,2024-01-06,Day,P2-L2,M-116,WO-1665,480,361,5,0.0159
RUN-149,2024-01-06,Evening,P2-L2,M-116,WO-1200,480,343,11,0.034
RUN-150,2024-01-06,Night,P2-L2,M-115,WO-1587,480,301,8,0.0291
RUN-151,2024-01-06,Day,P2-L3,M-120,WO-1010,480,283,5,0.0211
RUN-152,2024-01-06,Evening,P2-L3,M-118,WO-1818,480,269,7,0.0267
RUN-153,2024-01-06,Night,P2-L3,M-120,WO-1536,480,328,13,0.0412
RUN-154,2024-01-06,Day,P3-L1,M-122,WO-1022,480,324,8,0.0249
RUN-155,2024-01-06,Evening,P3-L1,M-121,WO-1483,480,340,8,0.0249
RUN-156,2024-01-06,Night,P3-L1,M-122,WO-1666,480,266,4,0.0162
RUN-157,2024-01-06,Day,P3-L2,M-126,WO-1889,480,224,10,0.0487
RUN-158,2024-01-06,Evening,P3-L2,M-126,WO-1243,480,275,3,0.0115
RUN-159,2024-01-06,Night,P3-L2,M-126,WO-1441,480,279,6,0.023
RUN-160,2024-01-06,Day,P3-L3,M-129,WO-1358,480,242,5,0.0216
RUN-161,2024-01-06,Evening,P3-L3,M-130,WO-1460,480,334,12,0.037
RUN-162,2024-01-06,Night,P3-L3,M-129,WO-1515,480,328,10,0.0316
RUN-163,2024-01-07,Day,P1-L1,M-103,WO-1670,480,296,8,0.0281
RUN-164,2024-01-07,Evening,P1-L1,M-102,WO-1678,480,234,11,0.0511
RUN-165,2024-01-07,Night,P1-L1,M-103,WO-1113,480,340,5,0.017
RUN-166,2024-01-07,Day,P1-L2,M-104,WO-1236,480,321,5,0.0161
RUN-167,2024-01-07,Evening,P1-L2,M-105,WO-1269,480,310,10,0.0347
RUN-168,2024-01-07,Night,P1-L2,M-106,WO-1342,480,294,8,0.0289
RUN-169,2024-01-07,Day,P1-L3,M-109,WO-1728,480,330,11,0.035
RUN-170,2024-01-07,Evening,P1-L3,M-110,WO-1617,480,278,4,0.0155
RUN-171,2024-01-07,Night,P1-L3,M-107,WO-1551,480,340,12,0.0374
RUN-172,2024-01-07,Day,P2-L1,M-113,WO-1784,480,356,16,0.0452
RUN-173,2024-01-07,Evening,P2-L1,M-112,WO-1687,480,364,6,0.0181
RUN-174,2024-01-07,Night,P2-L1,M-112,WO-1717,480,287,8,0.0295
RUN-175,2024-01-07,Day,P2-L2,M-115,WO-1677,480,326,3,0.0104
RUN-176,2024-01-07,Evening,P2-L2,M-116,WO-1762,480,257,16,0.0647
RUN-177,2024-01-07,Night,P2-L2,M-115,WO-1244,480,362,12,0.0341
RUN-178,2024-01-07,Day,P2-L3,M-119,WO-1624,480,227,7,0.0349
RUN-179,2024-01-07,Evening,P2-L3,M-118,WO-1473,480,225,3,0.0151
RUN-180,2024-01-07,Night,P2-L3,M-119,WO-1834,480,248,0,0.0011
RUN-181,2024-01-07,Day,P3-L1,M-121,WO-1489,480,317,5,0.018
RUN-182,2024-01-07,Evening,P3-L1,M-122,WO-1795,480,331,12,0.0387
RUN-183,2024-01-07,Night,P3-L1,M-121,WO-1228,480,313,8,0.028
RUN-184,2024-01-07,Day,P3-L2,M-124,WO-1042,480,285,8,0.0297
RUN-185,2024-01-07,Evening,P3-L2,M-125,WO-1424,480,318,5,0.0182
RUN-186,2024-01-07,Night,P3-L2,M-124,WO-1385,480,274,5,0.02
RUN-187,2024-01-07,Day,P3-L3,M-128,WO-1514,480,304,12,0.0397
RUN-188,2024-01-07,Evening,P3-L3,M-130,WO-1188,480,278,10,0.0377
RUN-189,2024-01-07,Night,P3-L3,M-131,WO-1421,480,279,11,0.0403
RUN-190,2024-01-08,Day,P1-L1,M-103,WO-1009,480,347,9,0.0285
RUN-191,2024-01-08,Evening,P1-L1,M-101,WO-1730,480,323,4,0.0136
RUN-192,2024-01-08,Night,P1-L1,M-103,WO-1092,480,301,15,0.0507
RUN-193,2024-01-08,Day,P1-L2,M-105,WO-1050,480,379,12,0.0323
RUN-194,2024-01-08,Evening,P1-L2,M-104,WO-1390,480,260,12,0.05
RUN-195,2024-01-08,Night,P1-L2,M-104,WO-1195,480,310,5,0.0193
RUN-196,2024-01-08,Day,P1-L3,M-108,WO-1732,480,274,5,0.0203
RUN-197,2024-01-08,Evening,P1-L3,M-110,WO-1064,480,312,11,0.0376
RUN-198,2024-01-08,Night,P1-L3,M-109,WO-1435,480,271,6,0.0243
RUN-199,2024-01-08,Day,P2-L1,M-114,WO-1338,480,344,14,0.0421
RUN-200,2024-01-08,Evening,P2-L1,M-111,WO-1627,480,230,0,0.001
RUN-201,2024-01-08,Night,P2-L1,M-112,WO-1787,480,271,6,0.0232
RUN-202,2024-01-08,Day,P2-L2,M-117,WO-1813,480,302,13,0.0432
RUN-203,2024-01-08,Evening,P2-L2,M-115,WO-1828,480,310,8,0.0264
RUN-204,2024-01-08,Night,P2-L2,M-116,WO-1053,480,330,10,0.0331
RUN-205,2024-01-08,Day,P2-L3,M-120,WO-1888,480,331,4,0.014
RUN-206,2024-01-08,Evening,P2-L3,M-120,WO-1174,480,200,4,0.0241
RUN-207,2024-01-08,Night,P2-L3,M-119,WO-1553,480,322,5,0.0158
RUN-208,2024-01-08,Day,P3-L1,M-123,WO-1268,480,380,11,0.0302
RUN-209,2024-01-08,Evening,P3-L1,M-122,WO-1310,480,313,8,0.0277
RUN-210,2024-01-08,Night,P3-L1,M-123,WO-1323,480,237,6,0.0283
RUN-211,2024-01-08,Day,P3-L2,M-125,WO-1746,480,383,7,0.0198
RUN-212,2024-01-08,Evening,P3-L2,M-127,WO-1256,480,299,12,0.0403
RUN-213,2024-01-08,Night,P3-L2,M-127,WO-1107,480,306,6,0.021
RUN-214,2024-01-08,Day,P3-L3,M-130,WO-1886,480,296,5,0.0186
RUN-215,2024-01-08,Evening,P3-L3,M-130,WO-1785,480,297,16,0.0556
RUN-216,2024-01-08,Night,P3-L3,M-131,WO-1481,480,311,7,0.0257
RUN-217,2024-01-09,Day,P1-L1,M-101,WO-1341,480,310,7,0.0226
RUN-218,2024-01-09,Evening,P1-L1,M-102,WO-1662,480,357,10,0.0307
RUN-219,2024-01-09,Night,P1-L1,M-103,WO-1172,480,299,14,0.0475
RUN-220,2024-01-09,Day,P1-L2,M-105,WO-1073,480,270,5,0.0222
RUN-221,2024-01-09,Evening,P1-L2,M-104,WO-1136,480,334,18,0.056
RUN-222,2024-01-09,Night,P1-L2,M-105,WO-1658,480,329,14,0.043
RUN-223,2024-01-09,Day,P1-L3,M-109,WO-1191,480,291,2,0.0094
RUN-224,2024-01-09,Evening,P1-L3,M-110,WO-1199,480,344,1,0.0043
RUN-225,2024-01-09,Night,P1-L3,M-107,WO-1041,480,396,14,0.0369
RUN-226,2024-01-09,Day,P2-L1,M-113,WO-1030,480,306,7,0.0229
RUN-227,2024-01-09,Evening,P2-L1,M-113,WO-1088,480,276,5,0.0212
RUN-228,2024-01-09,Night,P2-L1,M-113,WO-1899,480,219,7,0.0325
RUN-229,2024-01-09,Day,P2-L2,M-117,WO-1153,480,317,14,0.046
RUN-230,2024-01-09,Evening,P2-L2,M-117,WO-1600,480,302,7,0.026
RUN-231,2024-01-09,Night,P2-L2,M-115,WO-1136,480,267,3,0.0117
RUN-232,2024-01-09,Day,P2-L3,M-120,WO-1259,480,324,8,0.0268
RUN-233,2024-01-09,Evening,P2-L3,M-118,WO-1604,480,345,11,0.0323
RUN-234,2024-01-09,Night,P2-L3,M-118,WO-1837,480,297,8,0.0297
RUN-235,2024-01-09,Day,P3-L1,M-121,WO-1344,480,352,9,0.0271
RUN-236,2024-01-09,Evening,P3-L1,M-122,WO-1289,480,281,4,0.0173
RUN-237,2024-01-09,Night,P3-L1,M-121,WO-1086,480,321,7,0.0235
RUN-238,2024-01-09,Day,P3-L2,M-125,WO-1538,480,359,13,0.0387
RUN-239,2024-01-09,Evening,P3-L2,M-127,WO-1202,480,265,4,0.0168
RUN-240,2024-01-09,Night,P3-L2,M-127,WO-1797,480,255,5,0.0226
RUN-241,2024-01-09,Day,P3-L3,M-129,WO-1387,480,274,6,0.0223
RUN-242,2024-01-09,Evening,P3-L3,M-131,WO-1511,480,309,13,0.0421
RUN-243,2024-01-09,Night,P3-L3,M-128,WO-1803,480,290,8,0.03
RUN-244,2024-01-10,Day,P1-L1,M-102,WO-1838,480,319,9,0.0311
RUN-245,2024-01-10,Evening,P1-L1,M-103,WO-1247,480,336,5,0.0179
RUN-246,2024-01-10,Night,P1-L1,M-101,WO-1035,480,333,3,0.0091
RUN-247,2024-01-10,Day,P1-L2,M-106,WO-1639,480,301,5,0.0177
RUN-248,2024-01-10,Evening,P1-L2,M-104,WO-1676,480,344,4,0.0129
RUN-249,2024-01-10,Night,P1-L2,M-104,WO-1237,480,311,4,0.0147
RUN-250,2024-01-10,Day,P1-L3,M-108,WO-1295,480,331,7,0.0224
RUN-251,2024-01-10,Evening,P1-L3,M-109,WO-1083,480,308,5,0.0171
RUN-252,2024-01-10,Night,P1-L3,M-109,WO-1764,480,275,11,0.0429
RUN-253,2024-01-10,Day,P2-L1,M-112,WO-1320,480,375,6,0.0186
RUN-254,2024-01-10,Evening,P2-L1,M-111,WO-1472,480,275,12,0.0439
RUN-255,2024-01-10,Night,P2-L1,M-114,WO-1621,480,261,9,0.0351
RUN-256,2024-01-10,Day,P2-L2,M-117,WO-1513,480,344,12,0.0374
RUN-257,2024-01-10,Evening,P2-L2,M-117,WO-1397,480,332,9,0.0285
RUN-258,2024-01-10,Night,P2-L2,M-115,WO-1879,480,269,3,0.0125
RUN-259,2024-01-10,Day,P2-L3,M-118,WO-1060,480,367,15,0.0426
RUN-260,2024-01-10,Evening,P2-L3,M-120,WO-1104,480,332,10,0.0314
RUN-261,2024-01-10,Night,P2-L3,M-118,WO-1742,480,268,7,0.0262
RUN-262,2024-01-10,Day,P3-L1,M-121,WO-1482,480,309,9,0.032
RUN-263,2024-01-10,Evening,P3-L1,M-122,WO-1477,480,311,10,0.0346
RUN-264,2024-01-10,Night,P3-L1,M-123,WO-1755,480,318,8,0.0275
RUN-265,2024-01-10,Day,P3-L2,M-124,WO-1149,480,328,10,0.0324
RUN-266,2024-01-10,Evening,P3-L2,M-126,WO-1586,480,276,7,0.0286
RUN-267,2024-01-10,Night,P3-L2,M-126,WO-1635,480,352,5,0.0145
RUN-268,2024-01-10,Day,P3-L3,M-129,WO-1509,480,381,13,0.0344
RUN-269,2024-01-10,Evening,P3-L3,M-131,WO-1259,480,292,18,0.0644
RUN-270,2024-01-10,Night,P3-L3,M-128,WO-1340,480,316,7,0.0232
RUN-271,2024-01-11,Day,P1-L1,M-102,WO-1601,480,373,9,0.0266
RUN-272,2024-01-11,Evening,P1-L1,M-101,WO-1755,480,265,8,0.0312
RUN-273,2024-01-11,Night,P1-L1,M-101,WO-1454,480,277,7,0.0264
RUN-274,2024-01-11,Day,P1-L2,M-106,WO-1688,480,291,17,0.0601
RUN-275,2024-01-11,Evening,P1-L2,M-106,WO-1646,480,300,5,0.0196
RUN-276,2024-01-11,Night,P1-L2,M-106,WO-1245,480,329,11,0.0347
RUN-277,2024-01-11,Day,P1-L3,M-109,WO-1198,480,266,8,0.0321
RUN-278,2024-01-11,Evening,P1-L3,M-110,WO-1868,480,254,4,0.017
RUN-279,2024-01-11,Night,P1-L3,M-108,WO-1439,480,341,12,0.0363
RUN-280,2024-01-11,Day,P2-L1,M-114,WO-1468,480,231,8,0.0373
RUN-281,2024-01-11,Evening,P2-L1,M-112,WO-1884,480,327,9,0.0301
RUN-282,2024-01-11,Night,P2-L1,M-113,WO-1499,480,241,3,0.0162
RUN-283,2024-01-11,Day,P2-L2,M-117,WO-1071,480,330,11,0.0348
RUN-284,2024-01-11,Evening,P2-L2,M-117,WO-1424,480,273,4,0.0162
RUN-285,2024-01-11,Night,P2-L2,M-117,WO-1056,480,244,2,0.0117
RUN-286,2024-01-11,Day,P2-L3,M-120,WO-1503,480,254,7,0.029
RUN-287,2024-01-11,Evening,P2-L3,M-120,WO-1262,480,249,10,0.0407
RUN-288,2024-01-11,Night,P2-L3,M-120,WO-1479,480,285,11,0.0403
RUN-289,2024-01-11,Day,P3-L1,M-122,WO-1527,480,289,12,0.042
RUN-290,2024-01-11,Evening,P3-L1,M-123,WO-1865,480,288,9,0.0331
RUN-291,2024-01-11,Night,P3-L1,M-121,WO-1704,480,343,10,0.0318
RUN-292,2024-01-11,Day,P3-L2,M-125,WO-1666,480,299,8,0.0285
RUN-293,2024-01-11,Evening,P3-L2,M-124,WO-1348,480,343,5,0.0157
RUN-294,2024-01-11,Night,P3-L2,M-124,WO-1475,480,350,4,0.0122
RUN-295,2024-01-11,Day,P3-L3,M-130,WO-1373,480,359,14,0.04
RUN-296,2024-01-11,Evening,P3-L3,M-131,WO-1411,480,227,1,0.0081
RUN-297,2024-01-11,Night,P3-L3,M-130,WO-1181,480,265,5,0.0209
RUN-298,2024-01-12,Day,P1-L1,M-103,WO-1033,480,243,8,0.0354
RUN-299,2024-01-12,Evening,P1-L1,M-101,WO-1857,480,259,11,0.0461
RUN-300,2024-01-12,Night,P1-L1,M-103,WO-1703,480,324,7,0.0222
RUN-301,2024-01-12,Day,P1-L2,M-106,WO-1618,480,339,12,0.0369
RUN-302,2024-01-12,Evening,P1-L2,M-105,WO-1498,480,268,11,0.0414
RUN-303,2024-01-12,Night,P1-L2,M-106,WO-1372,480,322,10,0.0311
RUN-304,2024-01-12,Day,P1-L3,M-109,WO-1671,480,248,4,0.0179
RUN-305,2024-01-12,Evening,P1-L3,M-108,WO-1852,480,348,10,0.0302
RUN-306,2024-01-12,Night,P1-L3,M-110,WO-1217,480,341,3,0.0111
RUN-307,2024-01-12,Day,P2-L1,M-114,WO-1681,480,276,8,0.0321
RUN-308,2024-01-12,Evening,P2-L1,M-113,WO-1303,480,288,5,0.0175
RUN-309,2024-01-12,Night,P2-L1,M-114,WO-1684,480,315,4,0.0149
RUN-310,2024-01-12,Day,P2-L2,M-116,WO-1078,480,318,7,0.0221
RUN-311,2024-01-12,Evening,P2-L2,M-117,WO-1081,480,289,7,0.0275
RUN-312,2024-01-12,Night,P2-L2,M-117,WO-1589,480,289,11,0.041
RUN-313,2024-01-12,Day,P2-L3,M-118,WO-1318,480,225,5,0.0235
RUN-314,2024-01-12,Evening,P2-L3,M-120,WO-1649,480,217,8,0.0395
RUN-315,2024-01-12,Night,P2-L3,M-118,WO-1356,480,372,8,0.0232
RUN-316,2024-01-12,Day,P3-L1,M-122,WO-1802,480,355,7,0.0213
RUN-317,2024-01-12,Evening,P3-L1,M-123,WO-1497,480,247,9,0.0401
RUN-318,2024-01-12,Night,P3-L1,M-122,WO-1780,480,260,6,0.0231
RUN-319,2024-01-12,Day,P3-L2,M-125,WO-1003,480,282,8,0.0313
RUN-320,2024-01-12,Evening,P3-L2,M-124,WO-1061,480,327,6,0.021
RUN-321,2024-01-12,Night,P3-L2,M-125,WO-1136,480,284,7,0.0273
